email,category,response
"I want a refund for my order",refund,"Your refund request has been received and will be processed soon."
"I haven't received my refund yet",refund,"Your refund is under process and will be completed shortly."
"Please process my refund immediately",refund,"We have initiated your refund request."
"My order has not arrived yet",delivery_issue,"We apologize for the delay. Your order is on the way."
"Where is my order",inquiry,"Your order is currently being processed and will be delivered soon."
"How can I track my order",inquiry,"You can track your order using the tracking link sent to your email."
"I want to cancel my order",cancellation,Your cancellation request has been submitted successfully."
"Cancel my recent order",cancellation,"Your order has been cancelled as requested."
"The product I received is damaged",complaint,"We are sorry for the inconvenience. Please share images for further assistance."
"I received a defective item",complaint,"We regret the issue. A replacement or refund will be arranged."
"I got the wrong product",complaint,"We apologize for the mistake. Please initiate a return."
"How long does delivery take",inquiry,"Delivery usually takes 3 to 5 business days."
"Do you provide cash on delivery",inquiry,"Yes, Cash on Delivery is available in selected locations."
"My payment failed but money got deducted",payment_issue,"We are checking your payment issue. The amount will be refunded if needed."
"I was charged twice for my order",payment_issue,"We apologize for the inconvenience. The extra amount will be refunded."
"Can I return my product",return,"Yes, you can return the product within 7 days of delivery."
"I want to return my order",return,"Your return request has been initiated successfully."
"I need to change my delivery address",update_request,"Please provide the new address. We will update it."
"Can I modify my order",update_request,"Yes, you can modify your order before dispatch."
"I want to update my phone number",update_request,"Please share your new phone number to update it."
"The app is not working properly",technical_issue,"We are working on fixing the issue. Please try again later."
Website is crashing frequently,technical_issue,We apologize for the inconvenience. Our team is working on it.
Thank you for your service,feedback,Thank you for your feedback. We appreciate it.
Your service is excellent,feedback,We are glad you liked our service. Thank you.
I want to know your working hours,inquiry,Our support team is available from 9 AM to 6 PM.
"Do you offer international shipping",inquiry,"Yes, we offer international shipping to selected countries."
My order is delayed,delivery_issue,We apologize for the delay. Your order will reach you soon.
I have not received any update on my order,inquiry,We are checking your order status and will update you shortly.
I want to lodge a complaint,complaint,Your complaint has been registered successfully.
I am unhappy with the product quality,complaint,We regret the inconvenience. Please initiate a return or refund.